
,,Sorted Searching,,,,,,Unsorted Searching,,

list Size, Sequential, Binary, BST, AVL, Interpolation,,Sequential, BST, AVL
100, 50, 5, 50, 5, 3, , 49, 8, 5
200, 100, 6, 100, 6, 2, , 96, 8, 6
300, 150, 7, 150, 7, 2, , 149, 8, 7
400, 200, 7, 200, 7, 2, , 198, 10, 7
500, 250, 7, 250, 7, 3, , 247, 11, 8
600, 300, 8, 300, 8, 3, , 295, 10, 8
700, 350, 8, 350, 8, 2, , 344, 11, 8
800, 400, 8, 400, 8, 2, , 395, 11, 8
900, 450, 8, 450, 8, 3, , 444, 12, 8
1000, 500, 8, 500, 8, 3, , 489, 11, 9
1100, 550, 9, 550, 9, 3, , 541, 12, 9
1200, 600, 9, 600, 9, 3, , 594, 12, 9
1300, 650, 9, 650, 9, 3, , 641, 12, 9
1400, 700, 9, 700, 9, 2, , 687, 12, 9
1500, 750, 9, 750, 9, 3, , 738, 13, 9
1600, 800, 9, 800, 9, 3, , 784, 12, 9
1700, 850, 9, 850, 9, 3, , 836, 13, 9
1800, 900, 9, 900, 9, 3, , 883, 13, 9
1900, 950, 9, 950, 9, 3, , 931, 12, 10
2000, 1000, 9, 1000, 9, 3, , 978, 13, 10
2100, 1050, 10, 1050, 10, 3, , 1036, 12, 10
2200, 1100, 10, 1100, 10, 3, , 1083, 13, 10
2300, 1150, 10, 1150, 10, 3, , 1130, 13, 10
2400, 1200, 10, 1200, 10, 3, , 1183, 13, 10
2500, 1250, 10, 1250, 10, 3, , 1226, 13, 10
2600, 1300, 10, 1300, 10, 3, , 1278, 14, 10
2700, 1350, 10, 1350, 10, 3, , 1329, 13, 10
2800, 1400, 10, 1400, 10, 3, , 1377, 13, 10
2900, 1450, 10, 1450, 10, 3, , 1427, 13, 10
3000, 1500, 10, 1500, 10, 3, , 1474, 13, 10
3100, 1550, 10, 1550, 10, 3, , 1529, 14, 10
3200, 1600, 10, 1600, 10, 3, , 1574, 13, 10
3300, 1650, 10, 1650, 10, 3, , 1627, 13, 10
3400, 1700, 10, 1700, 10, 3, , 1673, 13, 10
3500, 1750, 10, 1750, 10, 3, , 1729, 14, 10
3600, 1800, 10, 1800, 10, 3, , 1766, 14, 11
3700, 1850, 10, 1850, 10, 3, , 1819, 15, 11
3800, 1900, 10, 1900, 10, 3, , 1869, 13, 11
3900, 1950, 10, 1950, 10, 3, , 1919, 14, 11
4000, 2000, 10, 2000, 10, 3, , 1966, 14, 11
4100, 2050, 11, 2050, 11, 3, , 2010, 14, 11
4200, 2100, 11, 2100, 11, 3, , 2068, 14, 11
4300, 2150, 11, 2150, 11, 3, , 2113, 14, 11
4400, 2200, 11, 2200, 11, 3, , 2166, 15, 11
4500, 2250, 11, 2250, 11, 3, , 2219, 14, 11
4600, 2300, 11, 2300, 11, 3, , 2263, 15, 11
4700, 2350, 11, 2350, 11, 3, , 2309, 15, 11
4800, 2400, 11, 2400, 11, 3, , 2360, 14, 11
4900, 2450, 11, 2450, 11, 3, , 2412, 14, 11
5000, 2500, 11, 2500, 11, 3, , 2456, 16, 11
5100, 2550, 11, 2550, 11, 3, , 2505, 15, 11
5200, 2600, 11, 2600, 11, 3, , 2562, 14, 11
5300, 2650, 11, 2650, 11, 3, , 2614, 15, 11
5400, 2700, 11, 2700, 11, 3, , 2657, 14, 11
5500, 2750, 11, 2750, 11, 3, , 2711, 14, 11
5600, 2800, 11, 2800, 11, 3, , 2758, 14, 11
5700, 2850, 11, 2850, 11, 3, , 2809, 14, 11
5800, 2900, 11, 2900, 11, 3, , 2854, 15, 11
5900, 2950, 11, 2950, 11, 3, , 2899, 15, 11
6000, 3000, 11, 3000, 11, 3, , 2946, 15, 11
