
,,Sorted Searching,,,,,,Unsorted Searching,,

list Size, Sequential, Binary, BST, AVL, Interpolation,,Sequential, BST, AVL
100, 748070, 11454, 19067, 5517, 12083, , 48540, 2654, 3003
200, 4120, 21930, 54057, 26190, 11104, , 14248, 13130, 3142
300, 63206, 2165, 362337, 94146, 13549, , 53149, 2514, 31917
400, 102318, 3073, 20882, 118102, 24096, , 54127, 83320, 2165
500, 14876, 9079, 36457, 2445, 2025, , 39320, 5308, 2165
600, 74311, 11174, 39251, 92749, 21651, , 59854, 11035, 16623
700, 49936, 2654, 47562, 9289, 30800, , 1279632, 10476, 2864
800, 62717, 5238, 112305, 74730, 278038, , 44349, 2374, 44140
900, 65931, 4191, 124527, 187384, 2305, , 116984, 38203, 42742
1000, 357447, 5937, 73613, 81365, 11245, , 87162, 107276, 2374
1100, 110838, 249403, 122083, 10686, 43930, , 274616, 3632, 28635
1200, 66280, 14807, 51404, 8311, 190527, , 110768, 2305, 44350
1300, 1053695, 19067, 195416, 83810, 2235, , 110977, 15575, 38971
1400, 1081562, 42952, 427917, 48819, 39111, , 61111, 6006, 140660
1500, 132559, 10267, 60692, 15994, 13898, , 247029, 88419, 11873
1600, 80317, 9009, 74520, 9987, 7193, , 1125213, 9010, 6845
1700, 124388, 23955, 85206, 43022, 213155, , 94914, 27168, 70400
1800, 145619, 10127, 1051600, 39321, 12572, , 52730, 54476, 5238
1900, 213993, 5657, 1033581, 15295, 6425, , 103505, 52800, 38971
2000, 90515, 92679, 215111, 52171, 208756, , 163219, 6216, 205613
2100, 73263, 179492, 356469, 157981, 3143, , 108114, 15574, 56223
2200, 106787, 21232, 804502, 59016, 110000, , 494267, 60063, 13479
2300, 197861, 7683, 203866, 74172, 47283, , 91561, 12921, 9288
2400, 120057, 248845, 110768, 83879, 69841, , 869314, 67118, 11803
2500, 136330, 33524, 16220707, 96520, 33524, , 10807030, 65162, 310863
2600, 16032764, 39390, 125016, 56851, 27517, , 16212186, 82622, 40857
2700, 1069340, 48051, 16243894, 6705, 20045, , 171531, 3422, 3003
2800, 571581, 34781, 181098, 78991, 133118, , 261416, 119359, 9917
2900, 181238, 3702, 212038, 34851, 46584, , 216299, 67118, 46095
3000, 2204610, 179352, 210292, 19695, 311352, , 168038, 134724, 42394
3100, 323993, 12292, 252825, 19276, 34711, , 276920, 32476, 310026
3200, 1275162, 6774, 231174, 11454, 39042, , 110069, 38902, 52381
3300, 216229, 44838, 361498, 3283, 18647, , 145898, 148971, 10546
3400, 119638, 99593, 274686, 66698, 39041, , 220419, 39042, 14527
3500, 487842, 184101, 882515, 72425, 124876, , 15820587, 41207, 94146
3600, 814698, 79340, 221397, 35270, 7822, , 15839863, 39181, 82972
3700, 267212, 58876, 112514, 81505, 80387, , 393975, 48610, 101899
3800, 15895037, 5308, 127181, 33384, 39879, , 162521, 38971, 94006
3900, 243676, 1022406, 125365, 38902, 106368, , 220838, 10057, 10057
4000, 1065010, 53498, 120546, 103574, 60133, , 121873, 98267, 38972
4100, 1351010, 39251, 1522959, 10546, 86324, , 199606, 9149, 33244
4200, 1129263, 37016, 252616, 39041, 55035, , 327556, 39949, 28844
4300, 1294928, 178445, 258482, 114469, 38972, , 231105, 127670, 128508
4400, 1337809, 88419, 135702, 38972, 41067, , 153162, 92540, 39042
4500, 1334108, 85346, 902559, 837955, 58946, , 1060330, 910870, 55454
4600, 1059143, 895086, 15783082, 50356, 762178, , 220978, 11594, 223702
4700, 16341742, 29543, 430502, 15645, 96590, , 242698, 11175, 10057
4800, 1061728, 83740, 211759, 121245, 37225, , 331676, 31219, 82902
4900, 1855473, 75708, 230266, 96939, 40228, , 349207, 118032, 37435
5000, 1119486, 225657, 233339, 73124, 42673, , 845079, 410248, 97219
5100, 1374896, 105461, 233270, 28146, 33454, , 235365, 84858, 77663
5200, 1072762, 104482, 228032, 2794, 127320, , 354933, 74241, 83600
5300, 1186114, 902838, 230127, 39251, 68724, , 167549, 97847, 69632
5400, 1119765, 76476, 245772, 58946, 86812, , 244654, 121244, 121244
5500, 1067594, 90165, 430502, 120755, 34990, , 909473, 99594, 52731
5600, 1363791, 196045, 984901, 243606, 71588, , 312190, 110000, 80457
5700, 15791322, 15773583, 1694978, 127670, 3003105, , 205194, 26260, 104413
5800, 1292204, 109302, 312959, 39530, 93447, , 266444, 184451, 113353
5900, 1080793, 93797, 357658, 36038, 109860, , 417232, 68095, 49587
6000, 1458286, 30102, 223282, 92190, 61600, , 364013, 42324, 85834
