Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
6, 13689, 1
19, 2514, 2
31, 2444, 3
35, 2585, 4
43, 2654, 5
52, 2934, 6
54, 3073, 7
64, 3073, 8
73, 3562, 9
80, 3632, 10
96, 3842, 11
105, 3981, 12
116, 4260, 13
126, 4470, 14
131, 4470, 15
151, 4819, 16
160, 4889, 17
180, 5099, 18
181, 5308, 19
186, 5518, 20
198, 5588, 21
213, 5797, 22
229, 5937, 23
247, 6006, 24
249, 6286, 25
256, 6495, 26
271, 6705, 27
284, 6705, 28
289, 6984, 29
294, 8590, 30
309, 7473, 31
315, 7612, 32
325, 7682, 33
329, 7892, 34
335, 8172, 35
347, 8241, 36
350, 8381, 37
367, 8660, 38
387, 8660, 39
388, 8940, 40
391, 8730, 41
404, 9288, 42
406, 9428, 43
414, 9568, 44
433, 9777, 45
452, 9987, 46
459, 10127, 47
473, 10197, 48
475, 10546, 49
495, 10616, 50
507, 16971, 51
522, 11105, 52
525, 11174, 53
543, 11523, 54
554, 16413, 55
569, 11803, 56
584, 11594, 57
589, 11384, 58
594, 11733, 59
596, 11873, 60
598, 11943, 61
610, 12153, 62
630, 12222, 63
641, 12571, 64
660, 12641, 65
678, 12641, 66
682, 13620, 67
701, 12851, 68
705, 13270, 69
713, 13339, 70
723, 25283, 71
734, 8590, 72
748, 8730, 73
750, 8940, 74
769, 9009, 75
775, 12292, 76
784, 2165, 77
789, 2444, 78
800, 2305, 79
815, 2235, 80
832, 2235, 81
835, 2165, 82
845, 1886, 83
855, 2165, 84
875, 2235, 85
892, 2165, 86
903, 2305, 87
910, 2235, 88
919, 2165, 89
937, 2165, 90
939, 2235, 91
954, 2305, 92
963, 2165, 93
967, 2304, 94
984, 2235, 95
1001, 2305, 96
1020, 2445, 97
1040, 2304, 98
1049, 2375, 99
1059, 2374, 100

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
100, 50, 25283,0, 7114


Binary Search
