
,,Sorted Searching,,,,,,Unsorted Searching,,

list Size, Sequential, Binary, BST, AVL, Interpolation,,Sequential, BST, AVL
100, 13783, 2725, 5518, 1935, 3492, , 2334, 1858, 1932
200, 2420, 2497, 2979, 1969, 2870, , 2398, 1721, 1668
300, 3275, 1530, 4467, 1826, 2954, , 3065, 1529, 1643
400, 3740, 1567, 3435, 1836, 1611, , 3540, 1684, 1427
500, 3983, 1609, 3821, 1403, 1520, , 4050, 1535, 1429
600, 4649, 1517, 4356, 1570, 1526, , 4553, 1484, 1480
700, 5166, 1454, 4782, 1415, 1464, , 6816, 1481, 1439
800, 5658, 1521, 5408, 1489, 1775, , 5576, 1483, 1670
900, 6188, 1515, 5983, 1618, 1449, , 6385, 1628, 1551
1000, 7676, 1461, 6420, 1498, 1485, , 6789, 1804, 1452
1100, 7355, 1695, 7118, 1427, 1618, , 7505, 1496, 1486
1200, 7849, 1493, 7480, 1439, 2154, , 7808, 1497, 1654
1300, 9545, 1494, 8036, 1541, 1428, , 8336, 1513, 1528
1400, 9618, 1516, 8853, 1453, 1477, , 8712, 1558, 1652
1500, 9494, 1483, 8411, 1431, 1470, , 9197, 1611, 1487
1600, 9685, 1458, 9165, 1459, 1446, , 10536, 1529, 1481
1700, 10546, 1513, 9291, 1449, 1706, , 10041, 1551, 1604
1800, 11058, 1511, 11431, 1502, 1458, , 10843, 1559, 1497
1900, 12061, 1503, 11559, 1439, 1501, , 11402, 1566, 1528
2000, 12168, 1855, 11839, 1567, 1628, , 12135, 1581, 1942
2100, 12595, 1780, 12803, 1610, 1447, , 12503, 1525, 1555
2200, 13238, 1510, 13774, 1504, 1585, , 13548, 1589, 1509
2300, 14067, 1502, 13313, 1468, 1471, , 13443, 1530, 1498
2400, 14012, 1766, 13549, 1498, 1497, , 14559, 1589, 1552
2500, 14633, 1517, 20193, 1472, 1460, , 19175, 1578, 1703
2600, 22442, 1506, 14286, 1448, 1460, , 21905, 1591, 1540
2700, 16406, 1523, 20516, 1428, 1470, , 15773, 1536, 1491
2800, 17038, 1516, 15520, 1448, 1541, , 16316, 1610, 1493
2900, 16489, 1495, 16432, 1454, 1488, , 16872, 1567, 1530
3000, 19216, 1698, 16202, 1465, 1621, , 17017, 1656, 1544
3100, 19829, 1516, 16936, 1449, 1476, , 17923, 1553, 1605
3200, 19676, 1496, 16973, 1428, 1505, , 17801, 1554, 1515
3300, 19068, 1535, 18267, 1431, 1466, , 18714, 1610, 1525
3400, 19635, 1562, 18136, 1538, 1476, , 19336, 1550, 1532
3500, 20234, 1693, 19404, 1500, 1548, , 25459, 1669, 2219
3600, 21356, 1557, 19271, 1446, 1464, , 24726, 1583, 1540
3700, 21362, 1555, 20359, 1469, 1481, , 21603, 1604, 1539
3800, 27534, 1505, 20099, 1463, 1473, , 21089, 1542, 1660
3900, 21707, 1812, 20184, 1450, 1533, , 21614, 1556, 1502
4000, 23271, 1560, 21155, 1523, 1514, , 21777, 1599, 1537
4100, 24010, 1534, 21378, 1468, 1504, , 22313, 1551, 1530
4200, 23880, 1545, 23414, 1456, 1513, , 23519, 1580, 1511
4300, 25692, 1604, 22995, 1536, 1464, , 23964, 1614, 1574
4400, 25377, 1541, 22392, 1453, 1490, , 24686, 1592, 1558
4500, 26482, 1574, 24744, 1765, 1484, , 26241, 1782, 1771
4600, 28145, 1746, 27582, 1743, 1909, , 25740, 1586, 2131
4700, 30383, 1518, 25212, 1462, 1538, , 26038, 1557, 1518
4800, 26917, 1527, 24665, 1496, 1461, , 26467, 1557, 1542
4900, 28727, 1526, 26223, 1464, 1522, , 27450, 1599, 1535
5000, 29049, 1791, 26916, 1457, 1467, , 28339, 1697, 1566
5100, 29144, 1548, 27113, 1451, 1472, , 27722, 1670, 1555
5200, 29962, 1552, 27243, 1442, 1551, , 29031, 1612, 1572
5300, 30353, 1834, 27821, 1449, 1470, , 29729, 1600, 1533
5400, 30895, 1540, 28848, 1480, 1490, , 29272, 1641, 1574
5500, 31177, 1562, 29780, 1473, 1482, , 30752, 1629, 1603
5600, 32809, 1591, 30392, 1539, 1503, , 31215, 1615, 1552
5700, 35018, 4374, 29828, 1466, 2133, , 30832, 1590, 1607
5800, 33528, 1553, 30364, 1477, 1504, , 33245, 1605, 1631
5900, 33891, 1548, 31155, 1472, 1483, , 32500, 1592, 1558
6000, 34338, 1553, 31630, 1453, 1495, , 32366, 1588, 1541
