
,,Sorted Searching,,,,,,Unsorted Searching,,

list Size, Sequential, Binary, BST, AVL, Interpolation, ,Sequential, BST, AVL
100, 50, 5, 50, 5, 2, , 49, 7, 5
200, 100, 6, 100, 6, 2, , 99, 9, 6
300, 150, 7, 150, 7, 3, , 147, 9, 7
400, 200, 7, 200, 7, 2, , 197, 9, 7
500, 250, 7, 250, 7, 3, , 244, 10, 8
600, 300, 8, 300, 8, 2, , 295, 11, 8
700, 350, 8, 350, 8, 2, , 344, 10, 8
800, 400, 8, 400, 8, 3, , 395, 11, 8
900, 450, 8, 450, 8, 3, , 443, 11, 8
1000, 500, 8, 500, 8, 3, , 495, 11, 9
1100, 550, 9, 550, 9, 3, , 543, 11, 9
1200, 600, 9, 600, 9, 3, , 591, 11, 9
1300, 650, 9, 650, 9, 3, , 639, 12, 9
1400, 700, 9, 700, 9, 3, , 686, 12, 9
1500, 750, 9, 750, 9, 3, , 739, 12, 9
1600, 800, 9, 800, 9, 3, , 788, 12, 9
1700, 850, 9, 850, 9, 3, , 834, 12, 9
1800, 900, 9, 900, 9, 3, , 882, 14, 10
1900, 950, 9, 950, 9, 3, , 934, 12, 10
2000, 1000, 9, 1000, 9, 3, , 986, 13, 10
2100, 1050, 10, 1050, 10, 3, , 1032, 14, 10
2200, 1100, 10, 1100, 10, 3, , 1085, 14, 10
2300, 1150, 10, 1150, 10, 3, , 1130, 13, 10
2400, 1200, 10, 1200, 10, 3, , 1185, 13, 10
2500, 1250, 10, 1250, 10, 3, , 1229, 13, 10
2600, 1300, 10, 1300, 10, 3, , 1280, 14, 10
2700, 1350, 10, 1350, 10, 3, , 1327, 13, 10
2800, 1400, 10, 1400, 10, 3, , 1374, 13, 10
2900, 1450, 10, 1450, 10, 3, , 1429, 13, 10
3000, 1500, 10, 1500, 10, 3, , 1473, 15, 10
3100, 1550, 10, 1550, 10, 3, , 1528, 13, 10
3200, 1600, 10, 1600, 10, 3, , 1575, 13, 10
3300, 1650, 10, 1650, 10, 3, , 1623, 13, 10
3400, 1700, 10, 1700, 10, 3, , 1673, 14, 10
3500, 1750, 10, 1750, 10, 3, , 1724, 14, 10
3600, 1800, 10, 1800, 10, 3, , 1776, 14, 11
3700, 1850, 10, 1850, 10, 3, , 1817, 14, 11
3800, 1900, 10, 1900, 10, 3, , 1872, 14, 11
3900, 1950, 10, 1950, 10, 3, , 1925, 14, 11
4000, 2000, 10, 2000, 10, 3, , 1963, 14, 11
4100, 2050, 11, 2050, 11, 3, , 2014, 13, 11
4200, 2100, 11, 2100, 11, 3, , 2068, 14, 11
4300, 2150, 11, 2150, 11, 3, , 2107, 14, 11
4400, 2200, 11, 2200, 11, 3, , 2168, 14, 11
4500, 2250, 11, 2250, 11, 3, , 2213, 15, 11
4600, 2300, 11, 2300, 11, 3, , 2257, 14, 11
4700, 2350, 11, 2350, 11, 3, , 2316, 14, 11
4800, 2400, 11, 2400, 11, 3, , 2355, 14, 11
4900, 2450, 11, 2450, 11, 3, , 2416, 14, 11
5000, 2500, 11, 2500, 11, 3, , 2460, 15, 11
5100, 2550, 11, 2550, 11, 3, , 2510, 14, 11
5200, 2600, 11, 2600, 11, 3, , 2558, 17, 11
5300, 2650, 11, 2650, 11, 3, , 2607, 15, 11
5400, 2700, 11, 2700, 11, 3, , 2662, 15, 11
5500, 2750, 11, 2750, 11, 3, , 2705, 16, 11
5600, 2800, 11, 2800, 11, 3, , 2747, 15, 11
5700, 2850, 11, 2850, 11, 3, , 2797, 14, 11
5800, 2900, 11, 2900, 11, 3, , 2852, 15, 11
5900, 2950, 11, 2950, 11, 3, , 2904, 15, 11
6000, 3000, 11, 3000, 11, 3, , 2946, 14, 11
