
,,Sorted Searching,,,,,,Unsorted Searching,,

list Size, Sequential, Binary, BST, AVL, Interpolation,,Sequential, BST, AVL
100, 100, 7, 100, 7, 5, , 100, 14, 8
200, 200, 8, 200, 8, 5, , 199, 17, 9
300, 300, 9, 300, 9, 5, , 300, 15, 10
400, 400, 9, 400, 9, 4, , 400, 21, 10
500, 500, 9, 500, 9, 5, , 499, 21, 11
600, 600, 10, 600, 10, 7, , 599, 21, 11
700, 700, 10, 700, 10, 5, , 700, 20, 11
800, 800, 10, 800, 10, 6, , 800, 24, 12
900, 900, 10, 900, 10, 6, , 900, 21, 12
1000, 1000, 10, 1000, 10, 5, , 999, 21, 12
1100, 1100, 11, 1100, 11, 7, , 1100, 23, 12
1200, 1200, 11, 1200, 11, 6, , 1200, 26, 12
1300, 1300, 11, 1300, 11, 6, , 1300, 22, 12
1400, 1400, 11, 1400, 11, 6, , 1400, 23, 13
1500, 1500, 11, 1500, 11, 5, , 1500, 23, 13
1600, 1600, 11, 1600, 11, 6, , 1600, 23, 13
1700, 1700, 11, 1700, 11, 7, , 1700, 25, 13
1800, 1800, 11, 1800, 11, 6, , 1800, 24, 13
1900, 1900, 11, 1900, 11, 7, , 1900, 22, 13
2000, 2000, 11, 2000, 11, 6, , 1999, 25, 13
2100, 2100, 12, 2100, 12, 7, , 2100, 24, 14
2200, 2200, 12, 2200, 12, 6, , 2200, 27, 13
2300, 2300, 12, 2300, 12, 6, , 2300, 25, 14
2400, 2400, 12, 2400, 12, 6, , 2400, 25, 13
2500, 2500, 12, 2500, 12, 6, , 2500, 23, 13
2600, 2600, 12, 2600, 12, 6, , 2600, 28, 14
2700, 2700, 12, 2700, 12, 7, , 2700, 23, 14
2800, 2800, 12, 2800, 12, 6, , 2800, 25, 14
2900, 2900, 12, 2900, 12, 8, , 2900, 29, 14
3000, 3000, 12, 3000, 12, 7, , 3000, 26, 14
3100, 3100, 12, 3100, 12, 7, , 3100, 28, 14
3200, 3200, 12, 3200, 12, 6, , 3200, 27, 14
3300, 3300, 12, 3300, 12, 7, , 3300, 23, 14
3400, 3400, 12, 3400, 12, 8, , 3400, 27, 14
3500, 3500, 12, 3500, 12, 6, , 3500, 33, 14
3600, 3600, 12, 3600, 12, 6, , 3600, 27, 14
3700, 3700, 12, 3700, 12, 6, , 3700, 30, 14
3800, 3800, 12, 3800, 12, 7, , 3800, 23, 14
3900, 3900, 12, 3900, 12, 7, , 3900, 30, 15
4000, 4000, 12, 4000, 12, 7, , 4000, 27, 14
4100, 4100, 13, 4100, 13, 6, , 4100, 26, 14
4200, 4200, 13, 4200, 13, 7, , 4200, 28, 14
4300, 4300, 13, 4300, 13, 6, , 4300, 27, 14
4400, 4400, 13, 4400, 13, 6, , 4400, 28, 14
4500, 4500, 13, 4500, 13, 6, , 4500, 28, 15
4600, 4600, 13, 4600, 13, 6, , 4600, 28, 15
4700, 4700, 13, 4700, 13, 6, , 4700, 29, 15
4800, 4800, 13, 4800, 13, 6, , 4800, 28, 15
4900, 4900, 13, 4900, 13, 7, , 4900, 26, 15
5000, 5000, 13, 5000, 13, 7, , 5000, 32, 15
5100, 5100, 13, 5100, 13, 7, , 5100, 29, 15
5200, 5200, 13, 5200, 13, 7, , 5200, 26, 15
5300, 5300, 13, 5300, 13, 6, , 5300, 28, 15
5400, 5400, 13, 5400, 13, 6, , 5400, 28, 15
5500, 5500, 13, 5500, 13, 7, , 5500, 26, 15
5600, 5600, 13, 5600, 13, 7, , 5600, 29, 15
5700, 5700, 13, 5700, 13, 6, , 5700, 29, 15
5800, 5800, 13, 5800, 13, 7, , 5800, 27, 15
5900, 5900, 13, 5900, 13, 8, , 5900, 31, 15
6000, 6000, 13, 6000, 13, 7, , 6000, 32, 15
